gene	driver_prob	is_driver	is_labeled
KDM1A	0.5974434	0	0
FGF2	0.59743804	0	0
TOP2A	0.5972852	0	0
TNF	0.59728	0	0
RAC2	0.597261	0	0
KIT	0.59687626	1	1
AFF2	0.59676236	0	0
PPP1CA	0.5966743	0	0
PSMA1	0.5966543	0	0
TRIP12	0.59656113	0	0
SERBP1	0.5964865	0	0
MDC1	0.59646624	0	0
PROS1	0.5964209	0	0
EVPL	0.59630495	0	0
SEMA6D	0.59626853	0	0
BMP4	0.59621567	0	0
CDK6	0.5960926	1	1
NRG1	0.59569937	1	1
NCOA2	0.595657	1	1
ARID4A	0.5956303	0	0
DOCK10	0.5954633	0	0
BTRC	0.59545034	0	0
ITGB2	0.5953145	0	0
BCHE	0.5950763	0	0
ACO2	0.5947819	0	0
PEG3	0.5947116	0	0
PCDH7	0.5945805	0	0
EIF4A2	0.5944613	1	1
SORL1	0.594458	0	0
KDM5B	0.59431654	0	0
CDKN1A	0.5943165	0	0
CHD6	0.59422386	0	0
GRB2	0.59412485	0	0
ANLN	0.59406006	0	0
SVEP1	0.5940033	0	0
GLUL	0.5939507	0	0
PUM1	0.593449	0	0
TPT1	0.59338075	0	0
ALDH1A1	0.5927576	0	0
UBQLN2	0.5927495	0	0
SNRPF	0.5926429	0	0
PNPT1	0.5923867	0	0
SREBF1	0.59224683	0	0
CAMSAP2	0.59190273	0	1
PDIA3	0.59163237	0	1
MRPL2	0.5913587	0	0
RBMX	0.5912174	0	0
GSN	0.5911871	0	0
BPTF	0.5909813	0	0
NOP56	0.59092146	0	0
SIN3A	0.59088176	0	0
MUC1	0.5908586	1	1
ABCE1	0.5907082	0	0
RPS7	0.5904795	0	0
CASP8	0.5902337	1	1
RAD23B	0.5901144	0	0
PTGS1	0.5900915	0	0
CCT6A	0.58970463	0	0
UBA6	0.5895507	0	0
CTSS	0.58946925	0	0
RPS27	0.5893419	0	0
ARRB2	0.588902	0	0
SKP1	0.5888096	0	0
PARK7	0.58869255	0	1
MRPL13	0.5886758	0	0
GPI	0.5883746	0	0
MCL1	0.58825046	0	0
CEBPB	0.58812845	0	0
SOX9	0.58755374	0	0
IKBKB	0.58751917	1	1
UBA1	0.5874543	0	0
FLNB	0.5874224	0	0
TNR	0.5873066	0	0
EWSR1	0.5870904	1	1
ITCH	0.58708525	0	0
PUM2	0.58706796	0	0
TLL1	0.58694994	0	0
SCARB1	0.58671707	0	0
SLITRK2	0.5866652	0	0
SEC61A1	0.5865493	0	0
PRKCZ	0.5865134	0	0
RPL21	0.58621764	0	0
WRN	0.58619434	1	1
FOXO1	0.58611	1	1
DHX38	0.58595085	0	0
TEP1	0.58591735	0	0
RNF213	0.5857471	1	1
IFT172	0.585731	0	0
RPL10A	0.58570135	0	0
RBM10	0.58551157	1	1
